project,t_per,x_per,l_per,o_per,s_per,count
zhwiki,0.0720058999401511,0.0353432576867933,0.867311069771833,0.00494412836078209,0.0203956442404403,58084657
ruwiki,0.111466857413252,0.443518011377511,0.368350366015083,0.0269641015220092,0.0497006636721443,35372586
commonswiki,0.00574707946727677,0.961257374239293,0.000832791622882978,0.00333334195679926,0.0288294127137483,34015712
svwiki,0.203290315684649,0.296519374043826,0.00695013766158128,0.228336587426248,0.264903585183696,15277683
enwiki,0.141127477108235,0.173823502132213,0.0436337135476349,0.121114411074595,0.520300896137322,13832813
frwiki,0.22649595316713,0.315487181013947,0.241226887062788,0.0406356784894018,0.176154300266733,12763685
eswiki,0.268824194329617,0.105740805284179,0.420973069751012,0.0577809458896691,0.146680984745523,11043381
cawiki,0.201901226438456,0.0849666736469803,0.604013076542722,0.0460848999890916,0.0630341233827502,10047304
arwiki,0.168542614649753,0.226407668127916,0.494733583469043,0.0333202555972798,0.0769958781560078,9545485
dewiki,0.211126122940351,0.297623589431303,0.207270823987833,0.0220275443639399,0.261951919276572,9035097
ukwiki,0.172731262805301,0.105808953272958,0.568970610394265,0.049380924855421,0.103108248672055,8222669
itwiki,0.171831395957039,0.474872423107016,0.0072999015175088,0.0914621452267301,0.254534134191705,6739269
huwiki,0.269678812130762,0.0980483443629553,0.53779569659398,0.0197122685460062,0.0747648783662965,6366492
hywiki,0.12512763878268,0.0449405223304725,0.759007875195312,0.0251720576016276,0.0457519060899072,5740810
cewiki,0.318547314758128,0.548071311531635,0.072269282391215,0.029574360304294,0.0315377310147279,5452358
rowiki,0.205913610356279,0.336871603370374,0.351247586977943,0.0124781725011187,0.0934890267942853,5428359
nowiki,0.136477333186844,0.23865696366232,0.458612496057817,0.0370701981038565,0.129183008989162,4569169
cebwiki,0.0660836369314181,0.0949960482925169,0.0130675507635727,0.00892167263149973,0.816931091380993,3733829
cswiki,0.184407695928811,0.101616686200532,0.496826954801535,0.0765843483350658,0.140564314734056,3621915
nlwiki,0.011763689603388,0.0199986599449802,0.000877957534653158,0.408800119165223,0.558559573751755,3611792
plwiki,0.169636676755332,0.154825612480666,0.116463819244209,0.144106305734308,0.414967585785484,3351616
bewiki,0.0942119840166303,0.293879979287318,0.5148511934241,0.0312514496996536,0.0658053935722982,3190316
euwiki,0.251448200581613,0.0954166701385706,0.399739190574197,0.106264842389448,0.147131096316171,2400220
wikidatawiki,0.00241636180478236,0.190120265804217,0.792398335189014,0.0135884452927558,0.00147659190923069,2263320
viwiki,0.11250728077984,0.0897779682686214,0.132035797625458,0.0625707472003341,0.603108206125746,2183832
jawiki,0.0848148397487351,0.111797848816435,0.00954930788232187,0.125448076933036,0.668389926619472,1931030
urwiki,0.0573023235883317,0.255095165576319,0.475456319459989,0.00217186242841509,0.209974328946946,1773593
ptwiki,0.0198328065179251,0.0454656224040926,0.00118822518646064,0.196054784059046,0.737458561832476,1686549
warwiki,9.23142797096487e-05,0.069690079357545,6.41616979542239e-05,0.000261884481445812,0.929891560183345,1527391
fawiki,0.094457077481298,0.102581988258831,0.0310646413814987,0.135432093837341,0.636464199041032,1478047
hewiki,0.15134686397162,0.244900507684745,0.267913849249378,0.099738550710873,0.236100228383385,1137123
bgwiki,0.193897070419172,0.229294204542316,0.146454985348087,0.170729316924141,0.259624422766285,1122379
dawiki,0.158217076861145,0.302736017990255,0.124936030020776,0.136220658254557,0.277890216873268,1080585
srwiki,0.215435893609526,0.218088949629715,0.0328076019641493,0.164080511608183,0.369587043188427,1058779
fiwiki,0.147237646985331,0.113455544959673,0.115402823016339,0.144504625151414,0.479399359887243,1024507
ocwiki,0.205009200839897,0.0644692639629914,0.572513584947044,0.056446574259179,0.101561375990889,993931
kowiki,0.0626712848483766,0.0866567429321288,5.80248346292213e-05,0.182712393211987,0.667901554172878,896168
ttwiki,0.0871181906907812,0.619357054209391,0.127104695576735,0.0533587170002289,0.113061342522863,829930
ruwikisource,0.332572191856313,0.340566002158122,0.023033755022743,0.00474324552834451,0.299084805434477,822011
elwiki,0.153160668916613,0.306718238469025,0.219818487479934,0.0933196819738855,0.226982923160543,791130
slwiki,0.187063504449026,0.180612657801298,0.28800523691083,0.0532985494917075,0.291020051347137,724091
specieswiki,0.053316925101491,0.053316925101491,0,0.0351571714111907,0.858208978385827,644392
eowiki,0.13802934340181,0.124150707410768,0.112373850173424,0.160570567887767,0.464875531126231,638031
tawiki,0.224117617987058,0.183210548887128,0.375272418856247,0.0359792172511483,0.181420197018418,627251
skwiki,0.109777706054278,0.0702140457432918,0.123043293282279,0.216611488474523,0.480353466445628,613467
idwiki,0.0327231256074534,0.0516527640970093,0.00306958266111218,0.104612882429748,0.807941645204677,611158
lawiki,0.186553304652319,0.011499758014412,0.373106609304639,0.156319340593459,0.27252098743517,597143
trwiki,0.00463619234807323,0.0249467094169674,0.00153420318647639,0.178937935471555,0.789944959576928,565766
enwikisource,0.323615936164317,0.23499400806388,0.0997524311844947,0.0915325592449243,0.250105065342385,544899
nnwiki,0.164768799321724,0.158375492634933,0.164373759678005,0.140153357371123,0.372328590994214,536655
shwiki,0.00884071326106989,0.0291270436905655,0.0149397224095836,0.000596600894901342,0.94649591974388,526315
azwiki,0.0448561689009792,0.0590399663705568,0.47343104876994,0.0157927923792589,0.406880023579265,413923
mswiki,0.0967599081211555,0.122968251187417,8.75963559915907e-05,0.0111174375145994,0.769066806820836,410976
glwiki,0.200922204323778,0.219785948504611,0.00444941430381133,0.0749597284997107,0.499882704368089,383646
bawiki,0.0995407361472188,0.45087625847041,0.144791343684658,0.106152757570698,0.198638904127014,377343
ltwiki,0.143164456241764,0.173312618134814,0.00135235860776254,0.000396272522274604,0.681774294493384,317963
iawiki,0.294976723111924,0.0648944961885891,0.500132418211812,0.0646168965638272,0.0753794659238484,313401
cywiki,0.157068347462666,0.148662102240873,0.24641103616996,0.0429452438796487,0.404913270246853,294305
uzwiki,0.241877807025635,0.243229436430847,0.0150417550606282,0.000741445001809268,0.499109556481081,281882
etwiki,0.0931458824957427,0.13706806992992,0.0506945510497699,0.073314316926625,0.645777179597942,280109
lvwiki,0.223843086865328,0.226326033143743,0.0901267927665766,0.0455811492602181,0.414122937964135,264605
kkwiki,0.00707083530493458,0.0136030868543246,0.048841852574238,0.000723241043159794,0.929760984223343,259941
kawiki,0.053724752976524,0.0887749046557856,0.193360971743253,0.00854051765994796,0.655598852964489,240969
zh_min_nanwiki,0.0198785817941386,0.0212095451540053,5.15211623174219e-05,0.000433636449504967,0.958426715440034,232914
minwiki,0,0.00121531656315625,0,0.000536169071980698,0.998248514364863,223810
tgwiki,0.0697251265378505,0.469963424095762,0.152547382421399,0.0370423393800569,0.270721727564931,216536
thwiki,0.0294004629846578,0.0734402384277266,0.007104096570727,0.116472506771385,0.773582695245504,213398
mkwiki,0.0872781350792823,0.149076810166676,0.0101396372906889,0.0177347084612859,0.735770709002067,207108
hrwiki,0.0018473126973324,0.0542168366433151,0.00898582021195483,2.04688387516055e-05,0.934929561608646,195419
hiwiki,0.0886375648534662,0.131697030493264,0.0269660982213162,0.00018336946790495,0.752515936964049,185418
simplewiki,0.00221000489902564,0.00442000979805128,0.000468129116542377,0.117636492297643,0.875265363888738,183710
