	425825357
#quickstatements	52627206
on	25575086
[[Property:P31]]:	24205127
label	19170827
https://goo	18187433
description	17273426
Bot:	15603358
BOT:Add	12959991
descriptions	11688135
.gl/BezTim	11081858
logfile	11081858
adding	10839959
and	10689813
for	10208071
-	9688205
from	9615829
de	9260452
Adding	8546081
nl-description,	8500945
Уикимедия	8388774
Wikimedia	8235343
python	7837598
of	7748549
add	7673699
#petscan	7285120
code	7267606
category	6370297
категория	6351453
[[Property:P17]]:	6173631
Add	5947295
to	5796344
BOT	5607785
[[Property:P2860]]:	5597126
languages):	5510996
item	5398819
disambiguation	5034845
[[Q5]]	4896101
[[Property:P569]]:	4696113
[[Property:P131]]:	4643905
[[Property:P625]]:	4559483
.gl/QsntSb,	4450994
article	4423414
Bot	4317414
[fr]	4258294
на	4243555
interwikilink:	4187196
[[Property:P107]]:	4122539
latin	4079294
(only	4075508
alphabet)	4075461
in	3928509
ar,	3820015
[[Property:P2093]]:	3818179
scientific	3807149
[[Property:P106]]:	3796857
[[Property:P846]]:	3714246
ca,	3700972
species	3663850
by	3658555
[[Property:P1545]]:	3565744
setting	3565602
proper	3530268
it	3434650
code]],	3316349
[[User:Edoderoobot/Set-nl-description|python	3316319
->	3258087
[[Q618123]]	3235002
#autolist2	3129837
[[Property:P21]]:	3124237
Wikipedia	3096925
eo,	3076998
[[Property:P735]]:	3059414
bs,	3014131
es,	2991191
в	2947682
hu,	2910041
вид	2897113
be,	2876096
[[Property:P171]]	2806764
labels	2792601
en	2777419
[nl]	2748250
deduced	2744361
set	2743796
[[Property:P107]],	2734321
[[Property:P18]]:	2733541
it,	2710694
Setting	2691307
cy,	2680679
gsw,	2677892
be-tarask,	2649082
he,	2646457
Persian	2603834
page	2583854
[[Q6581097]]	2563785
[[Property:P19]]:	2533529
label(s):	2509303
[[Property:P646]]:	2487275
[[Property:P570]]:	2472565
Added:	2466710
проекте	2458059
[[Property:P225]]:	2456016
[[Property:P27]]:	2432612
Категория	2430920
with	2406516
Added	2399343
Викимедиа	2371392
[[Property:P105]]:	2356459
der	2338192
fr,	2282044
update	2248425
[[Q7432]]	2247238
[[Property:P1566]]:	2209000
de-at,	2195033
the	2194710
lb,	2181777
categoría	2165588
based	2156945
a	2127858
de-ch,	2127535
страница	2116619
Auto-description	2114355
gl,	2106862
hr,	2084888
Art	2066101
is	2063151
[[Property:P1087]]:	2057423
el,	2050546
[[Q215627]]	2049303
[[Q4167836]]	2035739
zh-cn,	2031700
Gattung	2001554
sr,	1997827
en,	1987764
[[Property:P830]]:	1985794
de,	1980630
hy,	1973298
P31=Q4167836	1961216
case)	1958975
(Upper	1957389
sk,	1934186
uk,	1934173
sl,	1929543
Norwegian	1884698
sco,	1865057
nap,	1861997
[[Property:P585]]:	1853196
deprecated	1800732
Վիքիմեդիայի	1782202
նախագծի	1782027
present	1767880
lv,	1761508
ja,	1746950
(task	1731922
property,	1730038
sv	1718857
bn,	1706883
[[Property:P577]]:	1654664
New	1621444
fi,	1608790
description:	1606396
Wikimédia	1599089
[[Property:P54]]:	1594324
[[Property:P1448]]:	1579788
yue,	1576811
من	1576778
no	1556015
cs-description-fix,	1527146
.gl/NcxNZ0,	1527146
di	1497141
categoria	1491398
cs,	1490673
[[Property:P171]]:	1489119
[[Property:P421]]:	1482499
[de]	1477735
Add/Modify	1464344
[[Property:P1843]]:	1462467
da,	1461187
zh-hk,	1447304
نوع	1434462
id,	1423767
zh-tw	1416376
[[Property:P105]]=[[Q7432]]	1384936
#WLM	1366600
#COH	1366600
zh-mo,	1364902
zh-my,	1363513
zh-sg,	1362284
[[Property:P17]],	1343488
[[Property:P225]]	1341930
