	134403500
#quickstatements	41449564
#petscan	5442222
#autolist2	2710996
of	2361398
de	1973855
in	1915856
the	1672794
by	1273581
to	1262224
[[mediawikigadgetmergejs|mergejs]]	1095770
a	1012425
from	981102
1	968900
and	881805
2	749260
article	738850
من	724629
added	714072
نوع	657913
της	636625
update	619852
game	583343
3	575637
wikimedia	548251
moving	536301
4	502079
di	475177
#wikidatagame	469791
via	451321
labels	447599
النباتات	444504
la	429420
for	411648
οικισμός	399034
distributed	378491
5	377068
with	372846
sources	361760
[[wikidataprimary	359112
tool]]	359112
հոդված	356952
#mix'n'match	324024
6	317362
0000	314530
scientific	313285
clearing	312429
i	312162
redirect	308183
metre	303522
january	299278
revision	292552
#distributedgame	292079
updating	278314
graph	278028
citation	277973
species	272784
[[user	264426
10	261784
march	260178
film	259521
7	258938
may	257114
april	256948
sitelink	251461
august	247480
der	247416
december	246793
october	244675
list	243421
[[mediawiki	241865
november	241846
september	241636
label	238235
en	237523
j	235425
δημοκρατίας	234513
κίνας	234340
λαϊκής	234250
talkgadgetautoeditjs|autoedit]]	232398
m	231482
june	230061
february	228921
july	228028
8	222672
du	218552
del	218268
van	211696
order	209930
/	207338
entity	205069
2016	204698
descriptions	202892
9	202328
create	199138
encyclopedic	193997
beetle	193780
статья	193239
энциклопедическая	192671
ruwiki	188733
